sku,productSubcategory,productName
FP1623,Fruits ,Almond Shelled Per Lb ,Lb,#VALUE!
FP1570,Fruits ,Apple Ambrosia Per Lb ,Lb,#VALUE!
FP1610,Fruits ,Apple Braeburn,Lb,#VALUE!
FP1604,Fruits ,Apple Evercrisp Per Lb ,Lb,#VALUE!
FP1563,Fruits ,Apple Fuji China Per Lb ,Lb,#VALUE!
FP1574,Fruits ,Apple Fuji Organic Per Lb ,Lb,#VALUE!
FP1573,Fruits ,Apple Gala Organic Per Lb,Lb,#VALUE!
FP1595,Fruits ,Apple Koru Per Lb ,Lb,#VALUE!
FP1562,Fruits ,Apple Rave Per Lb,Lb,#VALUE!
FP1605,Fruits ,Blueberry Box 510G,Ea,#VALUE!
FP1583,Fruits ,Dragon Fruit Yellow Ea,Ea,#VALUE!
FP1582,Fruits ,Grape Candy Red Heart 3Lb,Ea,#VALUE!
FP1565,Fruits ,Grapefruits Per Lb ,Lb,#VALUE!
FP1577,Fruits ,Grapes Candy Red Box Ea,Ea,#VALUE!
FP1572,Fruits ,Grapes Clamshell Black 3Lb,Ea,#VALUE!
FP1576,Fruits ,Guava Mexican Per Lb,Lb,#VALUE!
FP1620,Fruits ,Mango Alphonso Box ,Ea,#VALUE!
FP1622,Fruits ,Mango Atulfo 14 Ct ,Ea,#VALUE!
FP1601,Fruits ,Mango Atulfo Box 16Ct ,Ea,#VALUE!
FP1602,Fruits ,Mango Atulfo Box 18Ct ,Ea,#VALUE!
FP1603,Fruits ,Mango Atulfo Each ,Ea,#VALUE!
FP1630,Fruits ,Mango Bangnapalli Box,Ea,#VALUE!
FP1599,Fruits ,Mango Champagne Box Ea,Ea,#VALUE!
FP1600,Fruits ,Mango Champagne Ea,Ea,#VALUE!
FP1614,Fruits ,Mango Haden Box 12 Ct ,Ea,#VALUE!
FP1621,Fruits ,Mango Kesar Box ,Ea,#VALUE!
FP1618,Fruits ,Mango Nam Dok Mai 16Ct,Ea,#VALUE!
FP1626,Fruits ,Mango Ratnagiri Alphonso Box ,Ea,#VALUE!
FP1571 ,Fruits ,Orange Mandarin Murcott Per Lb ,Lb,#VALUE!
FP1615,Fruits ,Orange Tangerine Baby Per Lb ,Lb,#VALUE!
FP1611,Fruits ,Orange Tangerine Golden Nugget,Lb,#VALUE!
FP1597,Fruits ,Orange Tangerine Honey Per Lb ,Lb,#VALUE!
FP1613,Fruits ,Papaya 30Lb,Lb,#VALUE!
FP1581,Fruits ,Pear Bosc Per Lb,Lb,#VALUE!
FP1608,Fruits ,Pear Crown 4Ct Box,Ea,#VALUE!
FP1628,Fruits ,Pear Forelle per lb ,Lb,#VALUE!
FP1566,Fruits ,Pears Asian Per Lb ,Lb,#VALUE!
FP1607,Fruits ,Peeled Sugarcane Pack ,Ea,#VALUE!
FP1624,Fruits ,Plum Yellow Per Lb ,Lb,#VALUE!
FP1579,Fruits ,Pomegranate Airls 4Oz,Ea,#VALUE!
FP1609,Fruits ,Pomegranate Indian Per Lb,Lb,#VALUE!
FP1625,Fruits ,Saag Chana Each ,Ea,#VALUE!
FP1092,Ginger/Garlic/Turmeric,Garlic Bunch Ea,Ea,#VALUE!
FP1453,Ginger/Garlic/Turmeric,Garlic Indian Peeled 1 Lb,Lb,#VALUE!
FP1455,Ginger/Garlic/Turmeric,Garlic Indian Peeled 1/2Lb,Lb,#VALUE!
